State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,856350,626997,748939,574728,1066460,257207,2399901,275970,15422,1377,25510,617,322,566108,5512,45202
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,1338474,972486,1208544,827622,1679655,356511,3599372,443456,20463,932,341,1417,309,897970,8606,48299
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1484794,1183084,1202223,731134,1669852,263505,3737588,397870,24129,867,253,1322,358,944555,13763,67087
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,1716933,1571644,1545831,547850,1748117,345564,4983330,77777,77825,738,413,4149,403,1297273,22411,93784
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,1634726,1325715,1442370,939254,2106326,275298,4217597,559770,89763,764,323,3282,332,1186028,19383,80434
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1542688,1349467,1045585,367712,1096081,317216,2046051,1713405,87522,11446,1268,19560,1929,869721,149034,274653
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1257238,949591,1049463,827305,1590304,286464,3491139,244723,24979,2086,332,312,115,926768,8831,46584
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,901640,728594,802906,607156,1215871,194191,2595321,158887,33463,655,217,459,539,668519,8628,42171
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,1598959,1410759,1327299,721581,1744978,303902,4023678,307043,145598,1393,863,6320,906,1163932,30438,101450
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,1246369,880792,1164122,865303,1757520,271905,3328380,670737,33165,737,255,2235,434,816721,10081,56478
